ID,Question,Difficulty,A,B,C,D,Correct Answer
1,What does the acronym SCRUM stand for?,1,Software Coding and Release Unified Method,It is not an acronym - it comes from rugby,Systematic Code Review and Update Management,Software Change Request and Update Model,B
2,In Agile methodology who is responsible for prioritizing the Product Backlog?,1,Scrum Master,Development Team,Product Owner,Stakeholders,C
3,What is the typical duration of a Sprint in Scrum?,1,1 day,1-4 weeks,3 months,6 months,B
4,Which software development model is characterized by sequential phases where each phase must be completed before the next begins?,1,Agile,Waterfall,Spiral,Iterative,B
5,What does MVC stand for in software architecture?,1,Model-View-Controller,Multiple Version Control,Main Visual Component,Module-Variable-Class,A
6,In a UML Class Diagram what does a solid line with a filled diamond represent?,2,Association,Aggregation,Composition,Inheritance,C
7,What is the main purpose of a Daily Standup meeting in Scrum?,2,To assign tasks to team members,To report progress and identify blockers,To review completed features with stakeholders,To plan the next Sprint,B
8,Which type of software review involves the author presenting the work to reviewers who identify defects?,2,Inspection,Walkthrough,Technical Review,Audit,B
9,What does SRS stand for in software engineering?,1,Software Release Schedule,System Runtime Specification,Software Requirements Specification,Standard Review System,C
10,According to IEEE standards what are the three types of software requirements?,2,Input Output and Processing,Functional Non-functional and Domain,User System and Interface,Primary Secondary and Tertiary,B
11,In the context of software testing what does the term Verification mean?,2,Testing if the software meets user needs,Testing if we are building the product right,Testing for security vulnerabilities,Testing performance under load,B
12,What is the Definition of Done (DoD) in Scrum?,2,A list of features for the next Sprint,Criteria that must be met for a story to be considered complete,The final release date of the product,A document describing project completion,B
13,Which architectural pattern separates an application into three interconnected components to separate internal representations from user interface?,2,Layered Architecture,Client-Server,Model-View-Controller,Pipe and Filter,C
14,What is architectural erosion in software systems?,3,Deliberate changes to improve architecture,Gap between planned and actual architecture due to violations,Normal aging of software components,Removal of unused architectural components,B
15,In a UML Sequence Diagram what do vertical dashed lines represent?,2,Method calls,Return values,Object lifelines,Time constraints,C
16,What is the primary role of the Scrum Master?,2,To manage the development team,To write code and fix bugs,To facilitate Scrum events and remove impediments,To communicate with customers,C
17,Which testing technique focuses on testing internal code structure and logic?,2,Black-box testing,White-box testing,Acceptance testing,Regression testing,B
18,What is the purpose of a Sprint Retrospective?,2,To demonstrate completed work to stakeholders,To plan the next Sprint backlog,To reflect on the process and identify improvements,To review and update requirements,C
19,In software engineering what is meant by coupling?,3,The degree of interdependence between software modules,The process of combining multiple modules,The relationship between users and the system,The connection between hardware and software,A
20,What is the difference between Aggregation and Composition in UML?,3,Aggregation is stronger - parts cannot exist without whole,Composition is stronger - parts cannot exist without whole,They are the same relationship,Aggregation is for classes - Composition is for objects,B
21,What is the time complexity of the best-case scenario for QuickSort algorithm?,4,O(n),O(n log n),O(n²),O(log n),B
22,In the context of software design patterns which pattern ensures a class has only one instance and provides a global point of access to it?,4,Factory Pattern,Singleton Pattern,Observer Pattern,Strategy Pattern,B
23,What does ACID stand for in database transactions?,4,Atomicity Consistency Isolation Durability,Application Control Integration Development,Asynchronous Communication Interface Design,Automated Continuous Integration Delivery,A
24,Which SOLID principle states that software entities should be open for extension but closed for modification?,4,Single Responsibility Principle,Open/Closed Principle,Liskov Substitution Principle,Dependency Inversion Principle,B
25,What is the primary purpose of a race condition in concurrent programming?,4,To improve performance,It is an unwanted condition where program behavior depends on timing of events,To synchronize threads,To optimize memory usage,B
26,In Git what does the command 'git rebase' primarily do?,4,Creates a new branch,Merges branches by creating a merge commit,Reapplies commits on top of another base tip,Deletes a branch,C
27,What is the difference between stateless and stateful protocols in network communication?,4,Stateless is faster stateful is more reliable,Stateless doesn't retain session information stateful does,They are the same,Stateful is only used in HTTP,B
28,In object-oriented programming what is polymorphism?,4,Having multiple classes,Ability of different classes to respond to the same message,Creating new objects,Deleting unused objects,B
29,What is the main advantage of using microservices architecture over monolithic architecture?,4,Easier to develop initially,Better for small applications,Independent deployment and scalability of services,Requires less infrastructure,C
30,What does TDD (test.JunitTest-Driven Development) emphasize?,4,Testing after development,Writing tests before writing code,Manual testing only,No testing required,B
31,In REST API design what does idempotency mean?,4,Every request returns the same response,Multiple identical requests have the same effect as a single request,Requests are processed in order,Requests cannot be duplicated,B
32,What is the purpose of a design pattern in software engineering?,4,To make code slower,To provide reusable solutions to common problems,To complicate the codebase,To avoid documentation,B
33,Which data structure is best suited for implementing a priority queue?,4,Array,Linked List,Heap,Stack,C
34,What is the main difference between ArrayList and LinkedList in Java?,4,ArrayList uses contiguous memory LinkedList uses nodes,They are identical,LinkedList is always faster,ArrayList cannot store objects,A
35,In Agile methodology what is a Sprint?,4,A testing phase,A time-boxed iteration for development,A type of meeting,A documentation process,B
36,What is the purpose of normalization in database design?,4,To increase redundancy,To reduce redundancy and improve data integrity,To slow down queries,To remove all relationships,B
37,What does the term 'Big O notation' represent in algorithm analysis?,4,Exact runtime,Upper bound on the growth rate of an algorithm,Lower bound on runtime,Memory usage only,B
38,In software testing what is the difference between black box and white box testing?,4,No difference,Black box tests functionality without knowing internal code white box tests with knowledge of code structure,Black box is automated white box is manual,They test different applications,B
39,What is continuous integration in DevOps?,4,Deploying once a month,Frequently merging code changes into a shared repository with automated builds and tests,Manual deployment process,Testing in production only,B
40,What is the CAP theorem in distributed systems?,4,Computers Always Process data,A system can have at most two of: Consistency Availability Partition tolerance,Cache Access Protocol,Centralized Application Processing,B
